LoginHour,SessionDuration,CommandsCount,FailedLogins,Protocol,TypingSpeed,Label
3,197,23,4,SSH,102,1
18,117,9,3,SSH,83,0
13,81,2,2,HTTPS,58,0
20,102,6,2,SSH,71,0
22,130,27,1,TOR,112,1
17,64,1,0,FTP,45,0
19,62,4,1,SSH,82,0
12,47,0,2,FTP,39,0
15,74,11,0,SSH,31,0
5,120,35,1,HTTPS,63,1
22,194,22,1,SSH,109,1
1,175,47,2,TOR,62,1
21,87,29,0,HTTPS,60,0
13,37,31,3,HTTPS,35,0
2,76,23,3,FTP,97,1
12,107,33,2,SSH,68,0
1,201,28,4,SSH,74,1
23,162,41,1,SSH,80,1
12,49,30,0,HTTPS,35,0
1,155,23,5,HTTPS,95,1
17,41,26,2,FTP,90,0
20,23,18,2,HTTPS,66,0
9,133,14,0,HTTPS,65,0
4,206,29,4,TOR,109,1
16,16,17,0,HTTPS,74,0
21,96,22,0,HTTPS,39,0
13,27,9,0,HTTPS,63,0
22,176,36,2,SSH,106,1
1,73,24,2,TOR,63,1
11,123,27,3,SSH,56,0
1,148,42,1,SSH,103,1
15,88,2,1,HTTPS,68,0
3,137,28,2,TOR,78,1
0,187,42,2,HTTPS,94,1
15,100,4,3,FTP,32,0
23,79,35,5,SSH,85,1
13,84,7,3,HTTPS,50,0
23,152,20,4,TOR,75,1
22,194,20,4,TOR,107,1
5,103,19,5,TOR,93,1
21,99,22,1,HTTPS,39,0
2,214,24,1,HTTPS,109,1
14,124,20,2,HTTPS,34,0
17,87,17,0,HTTPS,34,0
23,69,18,3,TOR,64,1
20,33,32,3,SSH,65,0
18,20,28,1,HTTPS,60,0
7,125,6,2,TOR,35,0
9,20,15,3,TOR,63,0
9,103,23,2,HTTPS,79,0
0,145,19,3,HTTPS,103,1
4,214,24,3,HTTPS,102,1
5,139,40,2,FTP,120,1
22,144,23,5,HTTPS,102,1
5,64,38,3,HTTPS,73,1
23,109,29,2,HTTPS,78,1
8,139,34,0,SSH,86,0
9,106,9,1,HTTPS,74,0
19,52,28,0,SSH,73,0
14,82,28,1,SSH,49,0
19,130,12,2,SSH,66,0
14,82,24,3,TOR,82,0
2,124,18,4,TOR,95,1
18,41,18,0,FTP,47,0
2,171,20,2,TOR,116,1
0,166,18,4,FTP,75,1
1,155,29,1,SSH,66,1
17,95,9,1,HTTPS,88,0
18,45,30,3,SSH,87,0
4,115,24,5,TOR,98,1
8,83,15,2,HTTPS,45,0
23,76,22,4,FTP,61,1
16,71,9,2,SSH,69,0
22,107,20,5,TOR,64,1
15,139,32,0,HTTPS,60,0
22,155,31,1,SSH,64,1
1,208,36,2,HTTPS,94,1
2,178,45,2,TOR,64,1
14,19,18,1,HTTPS,42,0
12,89,32,3,TOR,64,0
7,58,18,2,FTP,33,0
12,79,7,2,SSH,55,0
21,108,21,1,SSH,61,0
4,81,42,1,SSH,112,1
4,142,21,1,SSH,78,1
22,102,43,3,SSH,106,1
12,121,17,0,HTTPS,70,0
2,67,24,5,TOR,88,1
1,120,38,3,SSH,96,1
2,175,38,3,SSH,64,1
15,103,25,2,SSH,45,0
7,57,31,3,TOR,37,0
4,174,28,5,SSH,118,1
10,41,8,0,SSH,87,0
8,91,22,0,SSH,48,0
20,50,11,2,SSH,37,0
19,45,15,3,HTTPS,65,0
14,43,5,0,HTTPS,75,0
15,115,26,0,HTTPS,50,0
14,129,33,2,HTTPS,83,0
17,56,8,3,SSH,85,0
1,192,24,3,HTTPS,80,1
10,98,33,2,FTP,46,0
4,92,34,5,FTP,92,1
16,49,10,2,FTP,66,0
0,80,17,5,SSH,73,1
13,17,31,2,SSH,49,0
19,113,19,3,HTTPS,33,0
22,183,44,2,SSH,69,1
5,148,40,2,TOR,92,1
12,71,29,0,HTTPS,45,0
0,134,39,5,SSH,115,1
20,93,20,1,FTP,61,0
14,137,19,3,HTTPS,90,0
23,121,28,5,SSH,63,1
23,133,49,1,TOR,87,1
4,153,40,3,HTTPS,63,1
10,102,35,2,HTTPS,62,0
15,81,7,1,TOR,55,0
5,202,38,2,HTTPS,92,1
0,71,17,2,TOR,111,1
14,48,32,1,HTTPS,69,0
22,217,34,5,SSH,113,1
14,86,30,0,HTTPS,73,0
22,209,34,1,FTP,76,1
19,68,3,3,HTTPS,70,0
19,107,9,1,HTTPS,90,0
10,14,28,2,SSH,56,0
13,138,30,0,FTP,63,0
5,182,48,4,SSH,71,1
15,97,34,2,SSH,85,0
17,77,30,1,TOR,47,0
10,86,18,1,SSH,61,0
5,203,32,3,HTTPS,103,1
21,111,22,1,HTTPS,48,0
8,98,28,2,FTP,43,0
4,203,32,2,HTTPS,107,1
10,22,33,1,SSH,33,0
5,180,21,2,HTTPS,95,1
9,114,30,3,SSH,78,0
12,83,3,0,SSH,44,0
18,19,11,3,FTP,41,0
7,111,31,1,TOR,85,0
21,19,0,2,SSH,36,0
12,82,29,3,FTP,38,0
14,79,12,0,HTTPS,76,0
11,57,0,2,FTP,66,0
10,54,25,3,SSH,35,0
1,107,23,4,SSH,75,1
22,120,43,3,TOR,79,1
16,12,16,2,SSH,33,0
14,88,10,3,SSH,89,0
18,89,7,2,HTTPS,44,0
2,182,24,4,TOR,98,1
23,197,28,2,TOR,98,1
8,124,33,2,HTTPS,66,0
3,206,49,2,HTTPS,114,1
8,62,31,0,FTP,58,0
14,43,32,3,SSH,33,0
17,88,1,3,HTTPS,30,0
16,28,2,3,HTTPS,34,0
7,27,30,0,HTTPS,41,0
19,117,23,3,SSH,88,0
13,30,34,1,SSH,52,0
22,195,23,2,TOR,108,1
4,178,49,4,FTP,112,1
23,148,24,3,HTTPS,116,1
8,18,26,0,HTTPS,34,0
0,174,18,2,TOR,85,1
3,74,23,5,TOR,74,1
18,91,20,1,HTTPS,39,0
15,66,26,2,HTTPS,65,0
21,54,27,3,HTTPS,52,0
17,107,33,2,SSH,56,0
22,107,49,4,HTTPS,74,1
2,178,18,5,SSH,86,1
9,109,15,2,HTTPS,71,0
23,154,20,5,TOR,72,1
22,214,17,1,HTTPS,108,1
17,65,30,1,FTP,51,0
0,114,27,1,TOR,108,1
10,62,25,1,SSH,79,0
23,196,37,3,SSH,92,1
14,35,30,2,TOR,53,0
0,204,29,2,HTTPS,95,1
16,116,18,1,HTTPS,44,0
3,187,50,3,SSH,112,1
18,135,29,1,FTP,52,0
23,107,49,1,FTP,113,1
20,22,0,3,HTTPS,70,0
2,62,28,5,SSH,63,1
17,133,31,0,HTTPS,65,0
0,195,32,5,TOR,61,1
18,120,11,0,TOR,63,0
3,218,48,3,TOR,77,1
8,105,25,3,SSH,74,0
1,68,20,4,SSH,95,1
17,12,10,0,SSH,57,0
12,34,33,0,HTTPS,87,0
21,131,17,0,TOR,73,0
21,18,11,2,HTTPS,43,0
19,111,4,2,HTTPS,45,0
20,109,34,2,HTTPS,77,0
1,188,37,1,HTTPS,74,1
12,111,20,0,SSH,80,0
14,68,22,3,SSH,73,0
13,31,18,1,FTP,35,0
22,99,39,3,SSH,65,1
4,173,38,3,HTTPS,65,1
23,202,50,5,SSH,61,1
1,212,35,4,HTTPS,86,1
1,203,30,5,FTP,103,1
2,128,34,3,SSH,64,1
4,167,34,4,TOR,83,1
3,220,46,5,FTP,89,1
4,61,40,3,TOR,84,1
12,122,21,3,FTP,85,0
16,44,19,2,SSH,74,0
5,105,40,3,SSH,104,1
16,72,20,3,HTTPS,80,0
1,204,27,5,TOR,71,1
15,16,29,1,SSH,48,0
8,114,31,1,SSH,45,0
2,168,39,1,SSH,98,1
13,139,26,0,FTP,53,0
19,31,6,1,SSH,52,0
0,204,40,3,TOR,87,1
1,126,29,5,TOR,95,1
16,66,28,2,HTTPS,79,0
18,138,9,2,TOR,60,0
22,81,22,2,SSH,81,1
10,133,22,3,HTTPS,76,0
12,27,19,0,FTP,37,0
5,87,25,2,FTP,95,1
22,178,29,4,TOR,71,1
13,111,1,1,SSH,57,0
3,112,32,1,FTP,111,1
9,103,20,1,SSH,46,0
14,90,24,3,SSH,52,0
23,218,26,3,TOR,97,1
2,140,22,2,SSH,71,1
2,190,39,4,FTP,96,1
2,184,49,2,FTP,91,1
2,140,43,5,HTTPS,82,1
14,44,12,3,TOR,62,0
13,135,26,3,SSH,35,0
19,66,18,0,HTTPS,64,0
23,204,46,5,FTP,96,1
5,198,17,4,FTP,87,1
3,136,17,4,SSH,115,1
14,40,15,1,FTP,67,0
20,119,10,1,FTP,82,0
0,205,37,5,SSH,94,1
4,134,32,5,TOR,103,1
9,115,3,2,FTP,38,0
9,73,9,2,FTP,78,0
13,135,9,2,SSH,54,0
17,33,25,2,SSH,86,0
23,143,15,1,TOR,89,1
18,101,4,3,HTTPS,57,0
14,78,20,2,HTTPS,66,0
23,147,18,1,HTTPS,110,1
7,41,10,3,SSH,57,0
2,137,25,3,HTTPS,83,1
5,102,18,4,TOR,106,1
10,119,5,0,HTTPS,60,0
3,192,43,1,HTTPS,81,1
20,118,8,3,HTTPS,54,0
1,86,35,3,TOR,68,1
2,96,19,5,FTP,99,1
14,99,13,1,TOR,69,0
20,65,5,0,HTTPS,37,0
13,99,27,2,FTP,45,0
1,123,50,5,FTP,98,1
0,137,28,5,FTP,72,1
11,23,15,3,HTTPS,45,0
16,28,33,0,TOR,89,0
22,205,41,3,FTP,71,1
19,28,1,0,HTTPS,43,0
0,161,47,3,TOR,92,1
13,112,5,1,HTTPS,49,0
3,99,49,3,SSH,100,1
17,26,19,3,FTP,84,0
3,82,42,1,SSH,98,1
2,90,15,2,TOR,70,1
12,76,10,2,HTTPS,79,0
18,40,1,2,FTP,47,0
11,29,31,3,SSH,33,0
16,52,23,1,HTTPS,36,0
17,39,14,0,HTTPS,85,0
0,180,38,4,TOR,71,1
20,19,35,3,HTTPS,45,0
5,129,19,5,SSH,92,1
7,55,14,0,TOR,34,0
20,82,19,2,HTTPS,59,0
3,134,34,5,HTTPS,83,1
14,60,34,1,HTTPS,89,0
3,198,37,1,TOR,60,1
13,88,6,1,SSH,45,0
0,96,32,1,HTTPS,74,1
15,115,23,3,TOR,35,0
15,44,25,0,SSH,33,0
2,120,33,3,TOR,119,1
18,93,20,3,HTTPS,34,0
9,37,9,0,HTTPS,59,0
1,197,37,2,SSH,89,1
1,83,25,3,TOR,104,1
10,93,9,0,FTP,52,0
0,136,31,2,HTTPS,85,1
15,73,6,3,HTTPS,80,0
0,75,29,2,HTTPS,85,1
1,209,31,1,HTTPS,64,1
23,92,20,3,HTTPS,120,1
9,120,25,3,HTTPS,73,0
5,114,26,3,SSH,116,1
3,135,46,4,TOR,90,1
4,158,23,4,HTTPS,116,1
10,14,24,2,SSH,80,0
21,138,20,3,HTTPS,31,0
3,67,32,1,TOR,90,1
19,69,10,0,HTTPS,45,0
0,116,39,3,TOR,114,1
3,211,35,3,TOR,61,1
12,46,12,3,SSH,41,0
8,24,14,1,HTTPS,60,0
3,93,36,2,TOR,114,1
7,15,9,1,FTP,84,0
12,28,23,3,SSH,51,0
2,100,42,4,TOR,71,1
15,101,14,1,HTTPS,76,0
9,55,0,3,FTP,79,0
7,56,20,1,SSH,36,0
9,94,4,1,HTTPS,50,0
1,145,43,1,SSH,75,1
12,75,6,0,HTTPS,58,0
9,115,31,3,HTTPS,54,0
23,207,29,2,SSH,111,1
11,15,20,2,TOR,34,0
22,101,19,5,TOR,65,1
23,67,42,2,FTP,87,1
1,144,28,2,SSH,95,1
18,77,18,2,HTTPS,33,0
23,99,18,3,HTTPS,65,1
23,111,21,1,HTTPS,100,1
1,181,22,3,TOR,90,1
17,77,5,3,HTTPS,86,0
2,174,17,3,SSH,76,1
4,204,18,2,TOR,102,1
5,198,41,5,HTTPS,63,1
20,117,34,3,SSH,45,0
8,111,2,1,HTTPS,78,0
2,114,27,2,HTTPS,65,1
13,61,9,2,HTTPS,76,0
8,32,24,3,SSH,84,0
23,63,48,4,HTTPS,69,1
1,87,21,3,TOR,116,1
22,127,39,4,FTP,90,1
4,163,24,5,FTP,104,1
22,144,30,1,TOR,118,1
5,65,36,3,SSH,113,1
18,35,14,1,HTTPS,77,0
5,128,41,5,TOR,72,1
22,184,48,3,TOR,92,1
8,89,32,3,HTTPS,84,0
16,17,11,1,FTP,42,0
10,18,29,0,TOR,75,0
5,178,47,4,TOR,67,1
10,105,31,3,HTTPS,85,0
15,99,22,1,FTP,46,0
18,33,18,0,HTTPS,40,0
19,64,14,1,SSH,47,0
15,15,0,3,TOR,71,0
0,117,31,5,TOR,79,1
18,80,27,3,FTP,59,0
23,137,48,5,SSH,66,1
5,203,33,3,TOR,90,1
4,143,32,3,TOR,120,1
11,58,9,1,FTP,81,0
19,113,20,1,FTP,71,0
11,76,26,3,HTTPS,32,0
16,58,21,1,SSH,70,0
21,101,32,2,FTP,83,0
15,56,18,0,SSH,77,0
2,145,20,2,SSH,107,1
13,94,23,2,SSH,59,0
14,23,4,3,FTP,62,0
22,195,34,4,HTTPS,114,1
3,147,41,5,TOR,89,1
2,80,46,3,TOR,71,1
0,61,43,3,HTTPS,109,1
2,185,20,2,FTP,100,1
22,182,39,1,HTTPS,72,1
7,92,33,1,HTTPS,30,0
10,67,22,2,HTTPS,54,0
11,52,4,0,HTTPS,48,0
15,96,27,1,HTTPS,87,0
19,58,10,3,HTTPS,44,0
9,64,1,1,HTTPS,75,0
7,106,16,0,SSH,33,0
17,15,3,0,SSH,54,0
4,181,24,2,TOR,100,1
22,85,48,3,FTP,104,1
1,190,22,3,HTTPS,66,1
16,61,16,1,HTTPS,56,0
0,200,46,2,TOR,90,1
0,63,20,1,TOR,102,1
8,140,4,0,TOR,71,0
4,127,44,1,HTTPS,71,1
20,84,23,2,SSH,37,0
0,62,23,2,SSH,117,1
4,83,38,3,HTTPS,85,1
23,129,39,4,TOR,101,1
9,38,8,0,TOR,84,0
22,211,45,5,TOR,71,1
19,101,1,1,SSH,61,0
22,172,17,1,SSH,80,1
3,146,48,5,TOR,99,1
3,183,37,4,HTTPS,112,1
16,23,0,1,SSH,60,0
20,52,4,3,HTTPS,51,0
7,139,14,3,SSH,45,0
23,206,43,1,TOR,88,1
23,64,21,4,SSH,95,1
20,33,19,1,SSH,59,0
12,23,14,3,HTTPS,79,0
14,103,28,0,HTTPS,72,0
5,150,33,5,FTP,104,1
2,186,23,4,HTTPS,99,1
1,160,28,4,TOR,72,1
8,116,2,0,FTP,58,0
16,139,8,3,HTTPS,77,0
22,209,45,5,TOR,118,1
2,92,21,4,TOR,98,1
15,108,26,1,HTTPS,51,0
14,44,8,3,SSH,86,0
11,90,35,1,HTTPS,69,0
17,98,8,1,SSH,74,0
18,39,22,3,SSH,90,0
13,83,27,0,SSH,31,0
0,74,27,3,TOR,70,1
17,74,9,0,SSH,48,0
0,151,43,1,FTP,103,1
20,67,35,3,HTTPS,80,0
18,83,3,3,HTTPS,80,0
12,23,0,2,HTTPS,85,0
20,123,14,2,FTP,64,0
10,59,18,3,HTTPS,73,0
2,191,22,4,HTTPS,77,1
9,51,16,0,HTTPS,75,0
7,49,20,0,FTP,70,0
17,87,31,2,HTTPS,75,0
3,107,48,1,TOR,70,1
22,83,37,2,TOR,102,1
5,135,28,5,FTP,95,1
17,12,7,2,SSH,87,0
21,72,2,2,HTTPS,80,0
13,75,34,2,HTTPS,63,0
12,140,28,3,HTTPS,87,0
12,31,6,1,TOR,79,0
7,26,13,1,FTP,57,0
10,121,4,1,HTTPS,75,0
1,78,18,2,TOR,95,1
3,126,41,4,SSH,85,1
0,159,22,5,HTTPS,106,1
19,21,4,2,TOR,36,0
4,215,20,3,TOR,88,1
0,181,25,5,HTTPS,107,1
4,96,34,3,TOR,60,1
15,46,7,0,HTTPS,68,0
1,138,28,3,HTTPS,117,1
15,46,10,1,HTTPS,83,0
1,106,18,5,SSH,95,1
1,124,21,2,TOR,91,1
12,42,15,0,HTTPS,34,0
12,134,28,2,SSH,49,0
9,103,20,3,HTTPS,50,0
3,171,32,3,HTTPS,106,1
23,178,43,3,TOR,91,1
9,30,17,1,FTP,42,0
1,79,16,5,TOR,112,1
13,64,2,2,SSH,64,0
19,48,23,3,HTTPS,79,0
20,84,8,3,SSH,35,0
0,121,25,5,HTTPS,70,1
2,183,37,1,HTTPS,91,1
4,154,29,1,TOR,93,1
12,109,30,3,FTP,32,0
12,36,33,2,FTP,46,0
16,54,24,3,HTTPS,71,0
8,74,24,1,SSH,52,0
12,134,30,0,SSH,38,0
3,79,47,3,HTTPS,71,1
1,118,41,3,TOR,90,1
14,63,10,3,HTTPS,32,0
2,94,47,1,TOR,69,1
4,106,48,4,FTP,96,1
21,82,5,1,SSH,60,0
9,66,26,1,FTP,82,0
16,140,16,1,FTP,51,0
16,27,14,3,HTTPS,36,0
22,98,21,2,SSH,99,1
21,138,7,0,SSH,38,0
15,10,27,3,HTTPS,32,0
13,68,30,3,HTTPS,81,0
19,35,27,1,HTTPS,79,0
1,132,49,4,SSH,60,1
19,11,33,0,SSH,54,0
18,90,26,2,HTTPS,57,0
11,76,34,3,SSH,69,0
22,112,41,5,TOR,90,1
23,124,34,5,SSH,105,1
2,90,29,4,TOR,120,1
3,190,40,3,TOR,99,1
18,23,10,3,TOR,30,0
20,47,30,3,HTTPS,46,0
1,215,17,4,TOR,85,1
15,83,3,1,SSH,58,0
4,109,17,5,FTP,104,1
2,69,38,2,TOR,70,1
4,162,37,4,SSH,72,1
18,27,5,2,FTP,65,0
12,98,17,1,SSH,42,0
13,11,16,1,SSH,36,0
15,85,21,0,FTP,46,0
20,74,28,3,SSH,79,0
5,177,44,5,TOR,90,1
1,157,29,2,TOR,86,1
15,12,16,1,HTTPS,55,0
20,97,4,1,SSH,52,0
4,106,27,4,TOR,75,1
20,77,13,1,HTTPS,45,0
12,49,6,0,TOR,73,0
14,11,34,0,FTP,53,0
14,80,31,1,TOR,88,0
13,66,8,0,SSH,57,0
15,18,32,2,HTTPS,73,0
14,40,33,3,HTTPS,30,0
3,157,21,3,SSH,115,1
4,120,32,4,TOR,81,1
23,168,28,4,TOR,83,1
22,131,43,2,FTP,96,1
20,35,17,1,SSH,84,0
2,98,45,1,HTTPS,91,1
5,184,34,3,FTP,96,1
1,101,18,2,TOR,90,1
8,125,21,2,HTTPS,65,0
19,75,22,0,SSH,52,0
16,60,34,1,TOR,48,0
23,174,20,4,FTP,89,1
9,52,21,3,SSH,66,0
1,80,25,3,HTTPS,80,1
18,78,25,2,FTP,79,0
12,125,26,1,HTTPS,31,0
3,124,20,2,HTTPS,66,1
23,200,18,1,TOR,93,1
8,36,16,1,HTTPS,89,0
11,68,15,2,SSH,38,0
2,67,17,3,TOR,80,1
14,79,35,3,HTTPS,90,0
9,126,27,2,TOR,60,0
19,32,28,2,HTTPS,46,0
0,60,48,2,SSH,90,1
18,135,30,2,HTTPS,57,0
16,69,0,2,HTTPS,86,0
13,73,10,3,FTP,44,0
22,220,30,5,TOR,118,1
18,79,18,2,SSH,84,0
2,134,22,4,FTP,77,1
14,58,20,0,HTTPS,64,0
1,132,32,2,TOR,106,1
1,98,15,4,HTTPS,86,1
23,155,44,1,SSH,113,1
9,24,17,3,HTTPS,60,0
4,157,15,1,TOR,105,1
23,123,17,2,SSH,109,1
3,181,39,3,TOR,70,1
7,41,16,3,SSH,42,0
0,115,22,2,TOR,80,1
4,209,22,4,TOR,60,1
16,131,9,2,FTP,45,0
1,218,36,1,HTTPS,101,1
1,92,46,2,SSH,95,1
19,98,28,1,HTTPS,54,0
2,124,17,4,TOR,95,1
23,108,26,5,SSH,106,1
20,51,4,1,SSH,82,0
5,176,15,5,SSH,71,1
16,103,15,2,FTP,72,0
20,109,12,3,FTP,39,0
12,114,20,0,HTTPS,72,0
2,105,17,2,HTTPS,72,1
22,185,48,5,TOR,76,1
3,215,19,1,TOR,73,1
21,30,29,0,HTTPS,77,0
13,104,3,2,SSH,76,0
4,79,28,5,HTTPS,106,1
22,108,27,5,TOR,96,1
9,116,6,2,SSH,74,0
21,36,10,1,SSH,62,0
2,196,43,3,TOR,95,1
12,105,26,3,FTP,50,0
16,64,24,2,HTTPS,58,0
22,60,17,3,FTP,93,1
4,61,34,2,HTTPS,80,1
4,201,47,5,FTP,96,1
0,177,37,2,HTTPS,83,1
10,69,16,2,HTTPS,55,0
10,29,20,3,HTTPS,82,0
18,34,19,0,FTP,66,0
0,145,37,4,SSH,115,1
3,214,15,4,HTTPS,93,1
2,143,47,2,HTTPS,103,1
13,124,32,0,HTTPS,48,0
9,43,21,0,SSH,77,0
22,127,20,4,FTP,109,1
19,44,30,1,SSH,71,0
15,73,15,0,HTTPS,57,0
1,88,41,4,SSH,72,1
0,138,25,3,FTP,111,1
2,172,17,2,HTTPS,83,1
1,88,18,2,TOR,119,1
4,63,36,1,SSH,90,1
3,197,28,2,FTP,108,1
23,219,24,1,SSH,117,1
7,75,10,0,HTTPS,80,0
11,23,29,0,HTTPS,72,0
5,87,16,3,TOR,101,1
22,190,21,3,SSH,98,1
9,60,32,3,SSH,75,0
3,195,34,3,SSH,107,1
5,150,37,3,HTTPS,92,1
0,220,31,4,TOR,112,1
15,81,14,1,HTTPS,55,0
8,107,33,1,SSH,66,0
4,214,36,4,FTP,73,1
16,61,8,2,SSH,87,0
9,120,9,1,HTTPS,65,0
18,40,11,2,FTP,39,0
19,91,26,3,HTTPS,77,0
21,80,9,1,HTTPS,41,0
4,215,29,5,HTTPS,103,1
1,182,23,5,TOR,90,1
12,57,24,3,SSH,40,0
0,164,15,3,TOR,74,1
10,62,4,1,TOR,58,0
14,93,29,1,SSH,79,0
22,140,40,5,TOR,96,1
15,19,33,0,SSH,82,0
21,72,33,3,TOR,32,0
15,22,12,2,SSH,86,0
4,178,25,4,SSH,118,1
2,178,43,1,TOR,67,1
2,160,41,3,SSH,71,1
21,61,29,0,HTTPS,74,0
18,51,7,0,HTTPS,58,0
8,108,32,1,HTTPS,54,0
2,145,24,2,TOR,71,1
7,117,19,2,FTP,58,0
2,90,23,2,HTTPS,108,1
23,187,46,5,TOR,98,1
10,65,30,3,SSH,35,0
7,72,35,2,SSH,65,0
10,22,11,1,HTTPS,52,0
0,207,34,3,TOR,63,1
2,101,33,5,TOR,104,1
19,55,29,2,TOR,35,0
12,104,24,0,FTP,83,0
11,130,8,0,SSH,47,0
22,194,28,2,FTP,66,1
17,32,30,2,SSH,84,0
5,93,46,5,TOR,91,1
9,69,18,1,HTTPS,31,0
